web-scraper-order,web-scraper-start-url,rank,Youtuber,subscribers,video views,video count,category,started
"1699959846-149","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","149","SHAIRA","1,410,000","392,252,946","59","People & Blogs","2013"
"1699959846-150","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","150","sofi muñoz","2,590,000","382,381,621","324","Film & Animation","2015"
"1699959846-151","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","151","EDISONG","605,000","379,070,927","640","Music","2012"
"1699959846-152","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","152","Movistar Colombia","180,000","377,030,364","1,765","Entertainment","2009"
"1699959846-153","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","153","Caracol Play","1,580,000","375,671,484","2,669","Entertainment","2014"
"1699959846-154","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","154","El Espectador","943,000","374,212,073","19,497","News & Politics","2010"
"1699959846-155","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","155","Cerveza Aguila","144,000","370,087,903","514","Music","2016"
"1699959846-156","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","156","STIVENELVRO","1,620,000","361,224,568","834","Gaming","2014"
"1699959846-157","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","157","Twister El Rey","573,000","359,945,229","233","Music","2010"
"1699959846-158","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","158","Jose Batista El Artista","1,060,000","357,969,200","512","Entertainment","2015"
"1699959846-159","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","159","Yokoi Kenji Diaz","4,560,000","355,779,012","423","Education","2013"
"1699959846-160","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","160","Soy Luna Videos","1,330,000","355,227,851","183","Music","2009"
"1699959846-161","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","161","Roka Stereo","2,310,000","354,868,170","2,105","People & Blogs","2013"
"1699959846-162","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","162","Avivamiento","736,000","353,819,672","2,119","People & Blogs","2008"
"1699959846-163","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","163","Séptimo Día","1,170,000","347,483,164","724","Entertainment","2016"
"1699959846-164","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","164","Suso el Paspi Oficial","1,210,000","345,835,844","2,357","Comedy","2011"
"1699959846-165","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","165","JorgeCeledonVideo","115,000","345,429,118","134","Music","2008"
"1699959846-166","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","166","Leo Pedrozo Tv","740,000","340,521,785","1,050","Music","2012"
"1699959846-167","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","167","Mis Tips de Belleza","3,830,000","340,173,735","365","Howto & Style","2014"
"1699959846-168","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","168","TopManias","3,270,000","338,629,246","126","Entertainment","2011"
"1699959846-169","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","169","Diego Daza","396,000","338,215,940","184","Music","2008"
"1699959846-170","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","170","Alexy","2,630,000","332,576,804","365","Gaming","2017"
"1699959846-171","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","171","CamelloMello","1,330,000","329,646,128","252","Entertainment","2016"
"1699959846-172","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","172","Andrés Pino Music","671,000","326,431,690","517","Music","2011"
"1699959846-173","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","173","Juanpis Gonzalez.","2,110,000","323,521,172","1,288","Music","2018"
"1699959846-174","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","174","C h ë r r y Lyrics","514,000","322,218,161","299","Music","2015"
"1699959846-175","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","175","Doble Porción","403,000","321,682,599","223","People & Blogs","2012"
"1699959846-176","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","176","Sebastián Villalobos","6,390,000","321,537,225","201","People & Blogs","2011"
